episode,result
0,X
1,X
2,X
3,X
4,X
5,O
6,O
7,X
8,O
9,DRAW
10,X
11,X
12,X
13,O
14,X
15,X
16,X
17,X
18,O
19,X
20,DRAW
21,DRAW
22,DRAW
23,O
24,DRAW
25,X
26,X
27,O
28,X
29,X
30,X
31,X
32,X
33,DRAW
34,X
35,O
36,O
37,O
38,X
39,DRAW
40,DRAW
41,O
42,X
43,DRAW
44,DRAW
45,DRAW
46,DRAW
47,X
48,X
49,X
50,DRAW
51,DRAW
52,DRAW
53,DRAW
54,O
55,X
56,X
57,X
58,DRAW
59,X
60,X
61,X
62,X
63,DRAW
64,DRAW
65,X
66,O
67,X
68,DRAW
69,O
70,X
71,O
72,X
73,X
74,X
75,DRAW
76,O
77,O
78,X
79,X
80,X
81,O
82,DRAW
83,O
84,X
85,X
86,O
87,X
88,X
89,X
90,O
91,DRAW
92,X
93,O
94,X
95,O
96,O
97,O
98,X
99,O
100,X
101,X
102,X
103,O
104,DRAW
105,X
106,X
107,DRAW
108,X
109,DRAW
110,O
111,X
112,DRAW
113,X
114,DRAW
115,DRAW
116,DRAW
117,DRAW
118,DRAW
119,X
120,DRAW
121,X
122,X
123,X
124,DRAW
125,X
126,DRAW
127,X
128,X
129,X
130,O
131,X
132,X
133,O
134,X
135,DRAW
136,O
137,X
138,X
139,X
140,DRAW
141,X
142,X
143,DRAW
144,X
145,X
146,X
147,DRAW
148,X
149,O
150,X
151,X
152,O
153,DRAW
154,X
155,X
156,DRAW
157,X
158,DRAW
159,DRAW
160,DRAW
161,O
162,X
163,X
164,DRAW
165,X
166,X
167,X
168,DRAW
169,X
170,DRAW
171,O
172,X
173,O
174,X
175,X
176,DRAW
177,X
178,O
179,X
180,O
181,O
182,X
183,X
184,O
185,O
186,X
187,O
188,DRAW
189,DRAW
190,X
191,X
192,DRAW
193,O
194,X
195,X
196,DRAW
197,X
198,DRAW
199,X
200,X
201,O
202,X
203,O
204,X
205,O
206,X
207,O
208,DRAW
209,DRAW
210,DRAW
211,O
212,DRAW
213,DRAW
214,X
215,O
216,O
217,DRAW
218,DRAW
219,DRAW
220,O
221,X
222,X
223,X
224,DRAW
225,DRAW
226,X
227,DRAW
228,DRAW
229,DRAW
230,X
231,DRAW
232,DRAW
233,O
234,X
235,X
236,DRAW
237,X
238,O
239,O
240,X
241,DRAW
242,X
243,X
244,DRAW
245,X
246,DRAW
247,DRAW
248,DRAW
249,DRAW
250,X
251,DRAW
252,O
253,DRAW
254,X
255,DRAW
256,X
257,X
258,X
259,X
260,O
261,O
262,X
263,X
264,DRAW
265,O
266,DRAW
267,X
268,O
269,DRAW
270,DRAW
271,DRAW
272,DRAW
273,DRAW
274,DRAW
275,X
276,X
277,X
278,DRAW
279,X
280,X
281,X
282,DRAW
283,DRAW
284,X
285,DRAW
286,O
287,X
288,X
289,X
290,O
291,DRAW
292,DRAW
293,X
294,DRAW
295,X
296,X
297,X
298,X
299,X
300,X
301,X
302,O
303,DRAW
304,X
305,O
306,X
307,X
308,X
309,X
310,X
311,DRAW
312,X
313,X
314,DRAW
315,X
316,X
317,X
318,DRAW
319,X
320,X
321,DRAW
322,DRAW
323,O
324,X
325,X
326,DRAW
327,O
328,X
329,DRAW
330,O
331,X
332,O
333,O
334,O
335,X
336,DRAW
337,DRAW
338,O
339,X
340,X
341,X
342,X
343,DRAW
344,X
345,DRAW
346,X
347,DRAW
348,O
349,O
350,O
351,O
352,DRAW
353,X
354,DRAW
355,DRAW
356,O
357,DRAW
358,O
359,DRAW
360,DRAW
361,O
362,DRAW
363,X
364,O
365,X
366,O
367,X
368,O
369,X
370,DRAW
371,X
372,O
373,X
374,O
375,O
376,X
377,X
378,X
379,DRAW
380,O
381,O
382,DRAW
383,X
384,X
385,DRAW
386,O
387,O
388,DRAW
389,X
390,O
391,DRAW
392,X
393,DRAW
394,X
395,DRAW
396,O
397,O
398,DRAW
399,DRAW
400,DRAW
401,X
402,X
403,X
404,X
405,X
406,DRAW
407,X
408,X
409,O
410,O
411,O
412,X
413,X
414,X
415,X
416,DRAW
417,DRAW
418,X
419,DRAW
420,DRAW
421,DRAW
422,X
423,DRAW
424,DRAW
425,X
426,X
427,X
428,DRAW
429,X
430,X
431,X
432,O
433,X
434,O
435,O
436,X
437,X
438,X
439,X
440,X
441,DRAW
442,DRAW
443,O
444,X
445,X
446,O
447,X
448,X
449,X
450,X
451,X
452,DRAW
453,X
454,X
455,O
456,O
457,O
458,DRAW
459,X
460,X
461,DRAW
462,X
463,X
464,X
465,X
466,X
467,X
468,DRAW
469,DRAW
470,DRAW
471,X
472,DRAW
473,DRAW
474,O
475,DRAW
476,X
477,DRAW
478,X
479,X
480,DRAW
481,O
482,DRAW
483,DRAW
484,X
485,X
486,O
487,DRAW
488,X
489,X
490,O
491,X
492,X
493,X
494,DRAW
495,X
496,X
497,DRAW
498,DRAW
499,O
500,DRAW
501,DRAW
502,X
503,O
504,O
505,DRAW
506,X
507,O
508,X
509,O
510,X
511,X
512,X
513,X
514,X
515,X
516,O
517,O
518,O
519,DRAW
520,DRAW
521,O
522,X
523,DRAW
524,DRAW
525,O
526,O
527,O
528,DRAW
529,X
530,X
531,X
532,X
533,O
534,O
535,DRAW
536,DRAW
537,O
538,O
539,DRAW
540,DRAW
541,DRAW
542,O
543,X
544,X
545,X
546,X
547,O
548,O
549,X
550,X
551,O
552,X
553,X
554,DRAW
555,X
556,DRAW
557,X
558,X
559,DRAW
560,X
561,O
562,O
563,O
564,DRAW
565,X
566,X
567,X
568,DRAW
569,X
570,X
571,DRAW
572,DRAW
573,DRAW
574,DRAW
575,DRAW
576,X
577,X
578,X
579,X
580,O
581,O
582,O
583,DRAW
584,X
585,DRAW
586,X
587,O
588,DRAW
589,X
590,X
591,O
592,X
593,X
594,O
595,X
596,DRAW
597,X
598,X
599,DRAW
600,X
601,DRAW
602,X
603,DRAW
604,DRAW
605,O
606,X
607,DRAW
608,DRAW
609,X
610,DRAW
611,O
612,X
613,X
614,O
615,O
616,X
617,DRAW
618,O
619,X
620,X
621,X
622,O
623,DRAW
624,DRAW
625,DRAW
626,X
627,DRAW
628,X
629,X
630,O
631,X
632,X
633,X
634,DRAW
635,X
636,X
637,X
638,O
639,O
640,X
641,X
642,O
643,X
644,X
645,X
646,O
647,X
648,X
649,O
650,X
651,DRAW
652,X
653,DRAW
654,DRAW
655,X
656,X
657,X
658,X
659,X
660,O
661,O
662,O
663,DRAW
664,DRAW
665,X
666,O
667,DRAW
668,DRAW
669,X
670,DRAW
671,DRAW
672,X
673,X
674,X
675,O
676,DRAW
677,DRAW
678,O
679,DRAW
680,X
681,DRAW
682,X
683,X
684,X
685,X
686,DRAW
687,X
688,O
689,DRAW
690,X
691,X
692,X
693,O
694,DRAW
695,DRAW
696,X
697,O
698,X
699,X
700,DRAW
701,X
702,X
703,X
704,X
705,X
706,X
707,X
708,X
709,X
710,X
711,DRAW
712,X
713,X
714,DRAW
715,X
716,O
717,O
718,X
719,X
720,X
721,O
722,O
723,X
724,DRAW
725,DRAW
726,DRAW
727,DRAW
728,X
729,X
730,X
731,X
732,DRAW
733,DRAW
734,O
735,DRAW
736,O
737,X
738,DRAW
739,O
740,O
741,O
742,DRAW
743,X
744,O
745,X
746,O
747,X
748,X
749,O
750,DRAW
751,DRAW
752,DRAW
753,DRAW
754,DRAW
755,X
756,O
757,X
758,DRAW
759,O
760,O
761,X
762,O
763,X
764,X
765,DRAW
766,O
767,X
768,O
769,O
770,O
771,DRAW
772,DRAW
773,X
774,DRAW
775,X
776,DRAW
777,X
778,X
779,O
780,O
781,O
782,DRAW
783,O
784,X
785,DRAW
786,X
787,X
788,X
789,X
790,X
791,X
792,X
793,O
794,X
795,X
796,X
797,X
798,O
799,X
800,DRAW
801,O
802,X
803,O
804,O
805,X
